Reporting country (Name),Partner country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[2019],S
Madagascar,Japan,"Marine fish nei, minced, prepared or preserved",Imports,Tonnes – net product weight,Tonnes – net product weight,0.05,
Madagascar,Japan,Miscellaneous corals and shells,Imports,Tonnes – net product weight,Tonnes – net product weight,16,
Madagascar,Japan,"Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus), even smoked, frozen, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,95.66,
Madagascar,Japan,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,36.93,
Madagascar,Kenya,"Fish live, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0.01,
Madagascar,"Korea, Republic of","Aquatic invertebrates, other than prepared or preserved",Exports,Tonnes – net product weight,Tonnes – net product weight,0.07,
Madagascar,"Korea, Republic of","Clams, cockles, arkshells, etc., prep. or pres., nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0,
Madagascar,"Korea, Republic of","Crabs nei, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,0,
Madagascar,"Korea, Republic of","Eels, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,0.01,
Madagascar,"Korea, Republic of","Fish live, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0.65,
Madagascar,"Korea, Republic of","Fish, frozen, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,255.45,
Madagascar,"Korea, Republic of","Jellyfish, other than prepared or preserved",Exports,Tonnes – net product weight,Tonnes – net product weight,0.01,
Madagascar,"Korea, Republic of","Molluscs nei, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,0,
Madagascar,"Korea, Republic of","Molluscs nei, prepared or preserved",Exports,Tonnes – net product weight,Tonnes – net product weight,0.01,
Madagascar,"Korea, Republic of","Octopus, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,74.85,
Madagascar,"Korea, Republic of",Ornamental saltwater fish,Exports,Tonnes – net product weight,Tonnes – net product weight,0.07,
Madagascar,"Korea, Republic of","Rock lobster & other sea crawfish (Palinurus,Panulirus,Jasus), live, fresh or chilled, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0.11,
Madagascar,"Korea, Republic of","Sea-cucumber, other than live, fresh or chilled",Exports,Tonnes – net product weight,Tonnes – net product weight,0,
Madagascar,"Korea, Republic of","Seaweeds and other algae, fit for human consumption, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0.01,
Madagascar,"Korea, Republic of","Seaweeds and other algae, unfit for human consumption, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0.06,
Madagascar,Luxembourg,"Seaweeds and other algae, unfit for human consumption, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0,
Madagascar,Madagascar,"Crabs nei, frozen",Imports,Tonnes – net product weight,Tonnes – net product weight,18.53,
Madagascar,Madagascar,"Octopus, frozen",Imports,Tonnes – net product weight,Tonnes – net product weight,1.72,
Madagascar,Malaysia,"Aquatic invertebrates, other than prepared or preserved",Exports,Tonnes – net product weight,Tonnes – net product weight,56,
Madagascar,Malaysia,Jellyfish preparations,Exports,Tonnes – net product weight,Tonnes – net product weight,15.96,
